%Period blin b1 b2
%PGV -0.600 -0.500 -0.06
%PGA -0.360 -0.640 -0.14
0.010 -0.360 -0.640 -0.14
0.020 -0.340 -0.630 -0.12
0.030 -0.330 -0.620 -0.11
0.050 -0.290 -0.640 -0.11
0.075 -0.230 -0.640 -0.11
0.100 -0.250 -0.600 -0.13
0.150 -0.280 -0.530 -0.18
0.200 -0.310 -0.520 -0.19
0.250 -0.390 -0.520 -0.16
0.300 -0.440 -0.520 -0.14
0.400 -0.500 -0.510 -0.10
0.500 -0.600 -0.500 -0.06
0.750 -0.690 -0.470 0.00
1.000 -0.700 -0.440 0.00
1.500 -0.720 -0.400 0.00
2.000 -0.730 -0.380 0.00
3.000 -0.740 -0.340 0.00
4.000 -0.750 -0.310 0.00
5.000 -0.750 -0.291 0.00
7.500 -0.692 -0.247 0.00
10.000 -0.650 -0.215 0.00
