%Period c1 c2 c3 h
%PGV -0.87370 0.10060 -0.00334 2.54
%PGA -0.66050 0.11970 -0.01151 1.35
0.010 -0.66220 0.12000 -0.01151 1.35
0.020 -0.66600 0.12280 -0.01151 1.35
0.030 -0.69010 0.12830 -0.01151 1.35
0.050 -0.71700 0.13170 -0.01151 1.35
0.075 -0.72050 0.12370 -0.01151 1.55
0.100 -0.70810 0.11170 -0.01151 1.68
0.150 -0.69610 0.09884 -0.01113 1.86
0.200 -0.58300 0.04273 -0.00952 1.98
0.250 -0.57260 0.02977 -0.00837 2.07
0.300 -0.55430 0.01955 -0.00750 2.14
0.400 -0.64430 0.04394 -0.00626 2.24
0.500 -0.69140 0.06080 -0.00540 2.32
0.750 -0.74080 0.07518 -0.00409 2.46
1.000 -0.81830 0.10270 -0.00334 2.54
1.500 -0.83030 0.09793 -0.00255 2.66
2.000 -0.82850 0.09432 -0.00217 2.73
3.000 -0.78440 0.07282 -0.00191 2.83
4.000 -0.68540 0.03758 -0.00191 2.89
5.000 -0.50960 -0.02391 -0.00191 2.93
7.500 -0.37240 -0.06568 -0.00191 3.00
10.000 -0.09824 -0.13800 -0.00191 3.04
