%Period e1 e2 e3 e4 e5 e6 e7 Mh
%PGV 5.00121 5.04727 4.63188 5.08210 0.18322 -0.12736 0.00000 8.50
%PGA -0.53804 -0.50350 -0.75472 -0.50970 0.28805 -0.10164 0.00000 6.75
0.010 -0.52883 -0.49429 -0.74551 -0.49966 0.28897 -0.10019 0.00000 6.75
0.020 -0.52192 -0.48508 -0.73906 -0.48895 0.25144 -0.11006 0.00000 6.75
0.030 -0.45285 -0.41831 -0.66722 -0.42229 0.17976 -0.12858 0.00000 6.75
0.050 -0.28476 -0.25022 -0.48462 -0.26092 0.06369 -0.15752 0.00000 6.75
0.075 0.00767 0.04912 -0.20578 0.02706 0.01170 -0.17051 0.00000 6.75
0.100 0.20109 0.23102 0.03058 0.22193 0.04697 -0.15948 0.00000 6.75
0.150 0.46128 0.48661 0.30185 0.49328 0.17990 -0.14539 0.00000 6.75
0.200 0.57180 0.59253 0.40860 0.61472 0.52729 -0.12964 0.00102 6.75
0.250 0.51884 0.53496 0.33880 0.57747 0.60880 -0.13843 0.08607 6.75
0.300 0.43825 0.44516 0.25356 0.51990 0.64472 -0.15694 0.10601 6.75
0.400 0.39220 0.40602 0.21398 0.46080 0.78610 -0.07843 0.02262 6.75
0.500 0.18957 0.19878 0.00967 0.26337 0.76837 -0.09054 0.00000 6.75
0.750 -0.21338 -0.19496 -0.49176 -0.10813 0.75179 -0.14053 0.10302 6.75
1.000 -0.46896 -0.43443 -0.78465 -0.39330 0.67880 -0.18257 0.05393 6.75
1.500 -0.86271 -0.79593 -1.20902 -0.88085 0.70689 -0.25950 0.19082 6.75
2.000 -1.22652 -1.15514 -1.57697 -1.27669 0.77989 -0.29657 0.29888 6.75
3.000 -1.82979 -1.74690 -2.22584 -1.91814 0.77966 -0.45384 0.67466 6.75
4.000 -2.24656 -2.15906 -2.58228 -2.38168 1.24961 -0.35874 0.79508 6.75
5.000 -1.28408 -1.21270 -1.50904 -1.41093 0.14271 -0.39006 0.00000 8.50
7.500 -1.43145 -1.31632 -1.81022 -1.59217 0.52407 -0.37578 0.00000 8.50
10.000 -2.15446 -2.16137 -2.53323 -2.14635 0.40387 -0.48492 0.00000 8.50
