%Period	Sigma TU	SigmaTU	TM	SigmaTM
%PGV 0.500 0.286 0.576 0.256 0.560
%PGA 0.502 0.265 0.566 0.260 0.564
0.010 0.502 0.267 0.569 0.262 0.566
0.020 0.502 0.267 0.569 0.262 0.566
0.030 0.507 0.276 0.578 0.274 0.576
0.050 0.516 0.286 0.589 0.286 0.589
0.075 0.513 0.322 0.606 0.320 0.606
0.100 0.520 0.313 0.608 0.318 0.608
0.150 0.518 0.288 0.592 0.290 0.594
0.200 0.523 0.283 0.596 0.288 0.596
0.250 0.527 0.267 0.592 0.267 0.592
0.300 0.546 0.272 0.608 0.269 0.608
0.400 0.541 0.267 0.603 0.267 0.603
0.500 0.555 0.265 0.615 0.265 0.615
0.750 0.571 0.311 0.649 0.299 0.645
1.000 0.573 0.318 0.654 0.302 0.647
1.500 0.566 0.382 0.684 0.373 0.679
2.000 0.580 0.398 0.702 0.389 0.700
3.000 0.566 0.410 0.700 0.401 0.695
4.000 0.583 0.394 0.702 0.385 0.698
5.000 0.601 0.414 0.730 0.437 0.744
7.500 0.626 0.465 0.781 0.477 0.787
10.000 0.645 0.355 0.735 0.477 0.801
