%Lon	Lat	L	T	Vel
51.94	29.29	0.33447	0.41473	1620
52.69	29.57	0.01531	0.01137	1620
50.84	28.98	0.00922	0.00661	560
51.67	29.62	0.02908	0.02787	560
52.7	29.78	0.01089	0.01356	1130
52.4	29.83	0.03625	0.03283	1130
52.53	29.62	0.01253	0.01187	1620
51.6	29.85	0.0354	0.03862	560
52.15	29.67	0.15658	0.125564	280
52.01	28.02	0.00872	0.01020	280
51.26	29.02	0.00807	0.01112	1130
51.07	28.76	0.00989	0.00796	560
51.52	28.34	0.00713	0.00791	280
51.2	30.07	0.01343	0.01543	1620
52.52	29.63	0.02921	0.02317	1130
52.62	28.87	0.01106	0.01074	280
50.56	30.79	0.00841	0.00929	560
50.99	29.47	0.00759	0.00866	1620
52.7	29.2	0.01074	0.0096	1130
52.81	29.52	0.01327	0.01011	280
