%Lon	Lat	Vel
51.94	29.29	1620
52.69	29.57	1620
50.84	28.98	560
51.67	29.62	560
52.7	29.78	1130
52.4	29.83	1130
52.53	29.62	1620
51.6	29.85	560
52.15	29.67	280
52.01	28.02	280
51.26	29.02	1130
51.07	28.76	560
51.52	28.34	280
51.2	30.07	1620
52.52	29.63	1130
52.62	28.87	280
50.56	30.79	560
50.99	29.47	1620
52.7	29.2	1130
52.81	29.52	280
56.6677968535822	30.1545450415495	295.390188127423
52.9212514686507	28.0288750612821	1291.15504663850
52.6902224772360	31.4926436662598	267.889820001187
50.0843494803767	29.2626047103956	314.312743361028
52.4000796952815	27.8058168286151	1034.63974794285
53.6165407935632	32.5120124959991	354.768041249387
54.1122198677917	32.0075424919439	1509.03768617540
51.5596369410173	29.4012507431874	1508.07534732686
51.3069298369003	29.9798006880098	1355.90334778695
56.8918380284547	29.6963576362513	439.784707964747
48.3396497961560	26.6619383418642	1255.36840465329
55.9665120738223	27.4099706422359	1029.75190801686
56.2195814487531	28.7673867881407	1756.75928762218
55.1656548622669	26.8439052816925	1238.38638833977
48.8884105079002	31.7544703415631	1480.52892056384
50.3568406548364	26.5581143165364	926.076333963071
51.0182115596652	26.8073742477792	891.826406053539
54.1175515623960	26.3656643771829	1520.50207264327
49.2289782361983	26.8213143825324	333.551703774263
54.4910474872357	28.4855894728312	413.073612171459
48.9608567544652	27.4888182932033	477.421780990409
53.8838161380170	32.3870371368260	825.500483717977
52.4475654297534	28.4416591306367	1530.20758854251
55.0114655090815	26.4785305609931	1485.38302656390
54.4353337056063	32.2390477494391	296.753886671830
56.1334850450069	32.8379870268487	838.812432981721
56.0183025389771	28.5109597850088	1043.00132881327
51.0074674746375	25.8889537875248	866.879148689259
54.2887124910132	27.0645175672965	1250.97582555793
49.7802884401734	28.2697587689004	1204.75737470417
48.2748685167417	29.7591685920689	667.174527938744
54.6966683433072	27.0976939822468	890.641872397952
52.5002019203118	29.8227447150567	224.779401017630
52.3192992703145	30.6897262434695	1774.50195900665
56.1425001426063	26.7739738721379	467.469455863450
53.4887998358030	25.9393412068464	369.946151885862
53.5589975062961	27.3734069857466	795.855584088859
55.7349807508159	27.5502264154071	516.989444068759
55.2494048207672	28.3933340777105	983.500220825638
53.1904936405322	29.0628662772889	743.189461425212
49.6463022247342	25.6841263767204	1722.60874364436
50.1593880951185	27.0998578775867	1672.53126373850
55.9786073976849	31.4081169821579	284.283196289268
48.2580673721770	25.2337622204972	1380.57295282719
52.4091124966100	32.4308331158244	630.591082237689
49.5113443111403	30.8426469028436	876.536984014093
56.8081258467704	28.9088717904286	1076.59344194375
54.4142502451102	29.6282004881875	1708.37917484310
52.5042446173936	26.8982686381722	868.390566906660
52.2397953708775	28.6707906254394	1772.88394635177
